title,description,price,pagecount,publisher,writer,artist,coverartist,productcode,upc,color,format
100 Bullets Omnibus Vol 01 HC,"(W) Brian Azzarello (A) Eduardo Risso (CA) Dave Johnson The Eisner Award-winning series that redefined crime comics is collected in omnibus format for the first time! If you were given a gun and 100 untraceable bullets, would you seek vengeance? That?s the offer Agent Graves presents ordinary citizens, giving them an opportunity to exact revenge on those who wronged them, along with full immunity for their actions?even murder. The team of writer Brian Azzarello and artist Eduardo Risso weave a web of intrigue, crime, conspiracy, and deception as Agent Graves manipulates his ?clients? including Dizzy Cordova, who is given the chance to avenge her family?s murders, and a downtrodden bartender receiving the opportunity to exact revenge against the woman who ruined his life. Collects 100 Bullets #1-58 and a tale from Vertigo: Winter?s Edge #3.",87.0,,DC,Brian Azzarello,Eduardo Risso,Dave Johnson,SEP207096,9781779507426,Full Color,Hardcover
Absolute Superman Batman HC Vol 02,"The World's Finest join forces in this reality bending tale from SUPERMAN/BATMAN #14-26. Superman and Batman rule the Earth with an iron fist, with humanity bending to their will. Before long, the World's Finest Duo is sent careening through a series of bizarre alternate Earths to face an assortment of classic DC characters including Darkseid, Lex Luthor, Superwoman, Kamandi, Sgt. Rock, Haunted Tank, and many more. Includes the star-studded issue #25, which features the work of Geoff Johns, Brian K. Vaughan, Brad Meltzer, Joss Whedon, Jim Lee, Arthur Adams, John Cassaday, Joe Madureira and others!",57.99,336.0,DC,Sam Loeb Jeph Loeb,Various Carlos Pacheco,Brian Bolland,OCT130253,9781401248178,Color,Hardcover
Absolute Superman Batman HC Vol 01,"Collecting the best-selling run of SUPERMAN/BATMAN written by Jeph Loeb, with art by Ed McGuinness, Michael Turner and Pat Lee! The iconic Super Heroes unite when Lex Luthor, now president of the United States, accuses Superman of a crime against humanity, and assembles a top-secret team of powerhouse heroes to bring Superman in-dead or alive. And in the second story, prepare for the arrival of Supergirl! Batman has discovered something strange on the bottom of Gotham Bay, which leads him to a mysterious and powerful teenaged girl bent on destroying Gotham City! Collecting SUPERMAN/BATMAN #1-13.",49.99,336.0,DC,Jeph Loeb,Various Ed Mcguinness,Dexter Vines Ed Mcguinness,FEB130216D,9781401240967,Color,Hardcover
Absolute All-Star Batman & Robin the Boy Wonder HC,"The smash-hit Batman epic by modern master Frank Miller (BATMAN: YEAR ONE, THE DARK KNIGHT RETURNS) and artists extraordinaire Jim Lee and Scott Williams (BATMAN, SUPERMAN) is now collected in DC's Absolute format, including issues #1-9! Lee and Miller join forces to tell a new version of Dick Grayson's origin in a high-octane tale that unfolds with guest appearances by Superman, Wonder Woman, Green Lantern, Black Canary and more!",57.99,256.0,DC,Frank Miller,Scott Williams Jim Lee,Scott Williams Jim Lee,JAN140348,9781401247638,Color,Hardcover
Absolute Batman Haunted Knight HC,"(W) Jeph Loeb (A/CA) Tim Sale In this new Absolute edition by the team of writer Jeph Loeb and artist Tim Sale, Batman faces off against his most demented and wicked foes. Taking place on the most evil of holidays, Halloween, the Dark Knight confronts his deepest fears as he tries to stop the madness and horror created by Scarecrow, the Mad Hatter, the Penguin, Poison Ivy and The Joker. This slipcased hardcover collects BATMAN: MADNESS #1, BATMAN: GHOSTS #1, BATMAN: LEGENDS OF THE DARK KNIGHT HALLOWEEN SPECIAL #1 and CATWOMAN: WHEN IN ROME #1-6!",57.99,336.0,DC,Jeph Loeb,Tim Sale,Tim Sale,APR140278,9781401251222,Color,Hardcover
100 Bullets TP Book 05 (MR),"(W) Brian Azzarello (A) Eduardo Risso (CA) Dave Johnson In this final trade paperback collecting issues #81-100, more members of The Trust fall, and one family head reaches out to a semi-retired Minuteman for help. And learn the last dark truths as secrets are revealed about what really caused this war.",14.49,496.0,DC,Brian Azzarello,Eduardo Risso,Dave Johnson,DEC150363,9781401261337,Full Color,Softcover
Absolute Authority HC Vol 01,"(W) Warren Ellis (A) Bryan Hitch & Various (CA) Bryan Hitch, Paul Neary In these widescreen adventures from writer Warren Ellis and artist Bryan Hitch, the Authority battles a nation of super-powered terrorists, stops an invasion from a parallel world and much more! Collects THE AUTHORITY #1-12, PLANETARY/THE AUTHORITY #1 and more, including a brand-new story by Warren Ellis, Bryan Hitch and Paul Neary!",43.5,400.0,DC,Warren Ellis,Bryan Hitch,Bryan Hitch,APR170432,9781401276478,Color,Hardcover
100 Bullets TP Book 04 (MR),"(W) Brian Azzarello (A) Eduardo Risso (CA) Dave Johnson In these stories from 100 BULLETS #59-80, the Houses of the Trust are looking for the right angle in their impending war, while the Minutemen choose sides and make their own battle plans. Then, following Lono's ascension to warlord for the Houses of the Trust, players on both sides ready themselves for the endgame of their private war.",14.49,512.0,DC,Brian Azzarello,Eduardo Risso,Dave Johnson,OCT150272,9781401257941,Full Color,Softcover
Absolute Green Lantern Green Arrow HC,"(W) Dennis O'Neil, Elliot S. Maggin (A) Neal Adams, Dick Giordano (CA) Neal Adams This stunning Absolute Edition features the classic team-ups in which Green Lantern and Green Arrow confronted menaces including racism, poverty, and drug abuse! Collects stories from GREEN LANTERN/GREEN ARROW #76-87 and 89, plus THE FLASH #217-219 and 226.",57.99,368.0,DC,Dennis O'Neil,Neal Adams,Neal Adams,JUN150301,9781401257965,Full Color,Hardcover
Absolute Superman Batman HC Vol 01,"Collecting the best-selling run of SUPERMAN/BATMAN written by Jeph Loeb, with art by Ed McGuinness, Michael Turner and Pat Lee! The iconic Super Heroes unite when Lex Luthor, now president of the United States, accuses Superman of a crime against humanity, and assembles a top-secret team of powerhouse heroes to bring Superman in-dead or alive. And in the second story, prepare for the arrival of Supergirl! Batman has discovered something strange on the bottom of Gotham Bay, which leads him to a mysterious and powerful teenaged girl bent on destroying Gotham City! Collecting SUPERMAN/BATMAN #1-13.",57.99,336.0,DC,Jeph Loeb,Various Ed Mcguinness,Dexter Vines Ed Mcguinness,FEB130216,9781401240967,Color,Hardcover
